,genres,keywords,tagline,cast,director,title,release_date,index
124,Animation Adventure Family,queen musical princess betrayal snowman,Only the act of true love will thaw a frozen heart.,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck,Frozen,2013-11-27,124
125,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,Free your mind.,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski,The Matrix Reloaded,2003-05-15,125
126,Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Delve into the darkness,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor,Thor: The Dark World,2013-10-29,126
127,Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,What a Lovely Day.,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller,Mad Max: Fury Road,2015-05-13,127
128,Thriller Mystery,rome vatican based on novel symbolism christian,,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard,Angels & Demons,2009-05-13,128
129,Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Two worlds. One hero.,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh,Thor,2011-04-21,129
130,Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,Fully Awesome. Ridonculous. Let It Begin.,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams,Bolt,2008-11-21,130
131,Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,The world needs bigger heroes,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman,G-Force,2009-07-21,131
132,Adventure,underworld hades mythology greek mythology zeus,Feel the Wrath,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman,Wrath of the Titans,2012-03-27,132
133,Comedy Fantasy,witch imprisonment vampire curse fish out of water,Every Family Has Its Demons,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton,Dark Shadows,2012-05-08,133
134,Action Adventure Thriller,london england spy austria villain sequel,Desperate Times. Desperate Measures.,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie,Mission: Impossible - Rogue Nation,2015-07-23,134
135,Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,When the moon is full the legend comes to life,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston,The Wolfman,2010-02-11,135
136,Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Born to bee wild.,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner,Bee Movie,2007-10-28,136
137,Animation Family,martial arts hope fleet panda mission,Prepare for the Year of Awesomeness!,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson,Kung Fu Panda 2,2011-05-25,137
138,Action Adventure Family Fantasy,fire ice war ship prince kingdom,"Four nations, one destiny",Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan,The Last Airbender,2010-06-30,138
139,Adventure Action Thriller,berlin cia vatican white house secret identity,The Mission Begins 05:05:06.,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams,Mission: Impossible III,2006-05-03,139
140,Action Drama Thriller,usa president conspiracy secret service the white house,It will start like any other day.,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich,White House Down,2013-06-27,140
141,Adventure Animation Family,boy alien rescue martian alien abduction,Mom needs a little space.,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells,Mars Needs Moms,2011-03-09,141
142,Adventure Animation Comedy Family,london england underworld return ship frog,Someone's Going Down,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers,Flushed Away,2006-10-22,142
143,Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Every legend has a beginning.,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright,Pan,2015-09-24,143
144,Animation Adventure Family,father son relationship egypt intelligence adoption time travel,He's Leaving His Mark On History,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff,Mr. Peabody & Sherman,2014-02-07,144
145,Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,For passion. For honor. For destiny. For victory. For love.,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen,Troy,2004-05-13,145
146,Animation Family,madagascar 3d,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon,Madagascar 3: Europe's Most Wanted,2012-06-06,146
147,Adventure Action Thriller,laser british secret service secret service agent space based weapon,He’s never been cooler.,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori,Die Another Day,2002-11-17,147
148,Action Fantasy Comedy,female friendship ghost hunting reboot ghost,Who You Gonna Call?,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig,Ghostbusters,2016-07-14,148
149,Action Thriller Science Fiction Adventure,saving the world paris moon cataclysm asteroid,The Earth's Darkest Day Will Be Man's Finest Hour,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay,Armageddon,1998-07-01,149
150,Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Same Planet. New Scum.,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld,Men in Black II,2002-07-03,150
151,Adventure Action Animation,denmark nordic mythology lie pride and vanity folk hero,Evil breeds pain.,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis,Beowulf,2007-11-05,151
152,Action Adventure Animation Comedy Family,china martial arts kung fu village panda,Grab destiny by the rice dumplings.,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson,Kung Fu Panda 3,2016-01-23,152
153,Action Thriller Adventure,fight sequel mission explosion broken arm,No Plan. No Backup. No Choice.,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird,Mission: Impossible - Ghost Protocol,2011-12-07,153
154,Fantasy Animation Family,dream santa claus nightmare easter bunny tooth fairy,You better believe.,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey,Rise of the Guardians,2012-11-21,154
155,Comedy,based on novel desperation robber hold-up robbery remake,Giving big businesses a run for their money!,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot,Fun with Dick and Jane,2005-12-21,155
156,Drama Action War History,japan war crimes sense of guilt swordplay general,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick,The Last Samurai,2003-12-05,156
157,Adventure Drama Action,moses bible ancient egypt 3d ramses,"Once brothers, now enemies.",Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott,Exodus: Gods and Kings,2014-12-03,157
158,Science Fiction Action Adventure,spacecraft teleportation space mission parachute time travel,The future begins.,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams,Star Trek,2009-05-06,158
159,Fantasy Action,loss of lover spider thanksgiving bad boss hostility,With great power comes great responsibility.,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi,Spider-Man,2002-05-01,159
160,Fantasy Action Adventure Animation Comedy,father son relationship wife husband relationship sacrifice viking sequel,The training is over.,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois,How to Train Your Dragon 2,2014-06-12,160
161,Fantasy,egypt underworld fight mythology nile,The battle for eternity begins,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas,Gods of Egypt,2016-02-25,161
162,Action,artificial intelligence u.s. navy aftercreditsstinger,Fear The Sky,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen,Stealth,2005-07-28,162
163,Action Mystery Science Fiction,dc comics secret identity mass murder retirement based on comic book,Justice is coming to all of us.  No matter what we do.,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder,Watchmen,2009-03-05,163
164,Action Adventure Comedy Crime Thriller,lapd house on fire revolver,The faces you love. The action you expect.,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner,Lethal Weapon 4,1998-07-10,164
165,Drama Action Science Fiction,california san francisco monster general gun,Unleash the hero within,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee,Hulk,2003-06-19,165
166,Adventure Action Science Fiction Thriller,terror assassin secret technology missile,,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu,G.I. Joe: Retaliation,2013-03-26,166
167,Action Adventure Comedy Drama Mystery,tyrant ironclad ship,Dirk Pitt. Adventure has a new name.,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner,Sahara,2005-04-06,167
168,Adventure Action Animation Fantasy Science Fiction,battle assignment dystopia alien downfall scientist,Unleash a new reality,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi,Final Fantasy: The Spirits Within,2001-07-02,168
169,Action Adventure Science Fiction,new york usa world war ii nazis marvel comic,When patriots become heroes,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston,Captain America: The First Avenger,2011-07-22,169
170,Adventure Action Thriller,british mission oil heiress bilbao spain,As the countdown begins for the new millennium there is still one number you can always count on.,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted,The World Is Not Enough,1999-11-08,170
171,Adventure,naturalist frigate self surgery sea battle weevil,The courage to do the impossible lies in the hearts of men.,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir,Master and Commander: The Far Side of the World,2003-11-14,171
172,Adventure Fantasy Drama Romance,vampire romance villainess super strength imprinting,The epic finale that will live forever,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,172
173,Animation Comedy Family,penguin musical aftercreditsstinger 3d,Every step counts.,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller,Happy Feet Two,2011-11-17,173
174,Science Fiction Action Adventure,new york rio de janeiro marvel comic superhero based on comic book,You'll like him when he's angry.,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier,The Incredible Hulk,2008-06-12,174
175,Adventure Family Fantasy,london england england based on novel queen little girl,The world is more giant than you can imagine.,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg,The BFG,2016-06-01,175
176,Western Drama Adventure Thriller,father son relationship rape based on novel mountains winter,"(n. One who has returned, as if from the dead.)",Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,The Revenant,2015-12-25,176
177,Animation Family,underdog car race dream speed power,SLO NO MO,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren,Turbo,2013-07-11,177
178,Animation Comedy Family Western Adventure,sheriff nevada pet rango chameleon,Heroes come in all different colors.,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski,Rango,2011-03-02,178
179,Family Animation Adventure Comedy,penguin madagascar 3d,The Movie Event That Will Blow Their Cover,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell,Penguins of Madagascar,2014-11-22,179
180,Action Drama Mystery Thriller,paris corruption madrid assassin based on novel,Remember everything. Forgive nothing.,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass,The Bourne Ultimatum,2007-08-03,180
181,Adventure Animation Family Comedy,china martial arts kung fu mentor snake,Prepare for awesomeness.,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne,Kung Fu Panda,2008-06-04,181
182,Science Fiction Action Adventure,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,Heroes don't get any bigger.,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed,Ant-Man,2015-07-14,182
183,Adventure Action Science Fiction,competition based on novel mentor secret factory,Every revolution begins with a spark.,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,The Hunger Games: Catching Fire,2013-11-15,183
184,Fantasy Comedy Animation Science Fiction Family,friendship spaceship space alien alien invasion,Worlds Collide,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson,Home,2015-03-18,184
185,Adventure Thriller Science Fiction,post traumatic stress  disorder new jersey airplane dystopia daughter,They're already here.,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg,War of the Worlds,2005-06-28,185
186,Adventure Action Comedy Thriller Crime,miami ku klux klan cuba undercover mexican standoff,"If you can't stand the heat, get out of Miami.",Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay,Bad Boys II,2003-07-18,186
187,Action Adventure Animation Family Fantasy,adventure fairy-tale figure,Live for danger. Fight for justice. Pray for mercy.,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller,Puss in Boots,2011-10-28,187
188,Action Mystery Thriller,assassination spy cia kidnapping cold war,Who is Salt?,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,Phillip Noyce,Salt,2010-07-21,188
189,Drama Adventure,bible god noah 3d,The end of the world is just the beginning.,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Darren Aronofsky,Noah,2014-03-20,189
190,Adventure Animation Mystery,riddle captain treasure liquor treasure hunt,"This year, discover how far adventure will take you.",Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,Steven Spielberg,The Adventures of Tintin,2011-10-25,190
191,Adventure Fantasy Family,flying traitor magic cutting the cord child hero,Something wicked this way comes.,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,Alfonso Cuar\u00f3n,Harry Potter and the Prisoner of Azkaban,2004-05-31,191
192,Drama,missionary world war ii ranch australia british,Welcome to Australia!,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,Baz Luhrmann,Australia,2008-11-18,192
